"year","state","county","industry_sector","chemical","total_releases","fugitive_air","stack_air","water","onsite_total","air_releases"
2024,"IL","COOK","Plastics and Rubber","Xylene (mixed isomers)",991,317,674,0,991,991
2024,"OH","HAMILTON","Chemicals","Styrene",4887,100,4500,0,4600,4600
2024,"LA","ST. CHARLES PARISH","Chemicals","Formic acid",5700920,0,140,780,5700920,140
2024,"MO","CLAY","Plastics and Rubber","Antimony compounds",0,0,0,0,0,0
2024,"PR","GUAYNABO MUNICIPIO","Petroleum Bulk Terminals","Benzene",1732.71,1452.71,280,0,1732.71,1732.71
2024,"GA","CLAYTON","Chemicals","Triclopyr-triethylammonium salt",0,0,0,0,0,0
2024,"IA","DAVIS","Plastics and Rubber","Lead  And Lead Compounds",0,0,0,0,0,0
2024,"IL","COOK","Hazardous Waste","Zinc compounds",283918.4,3,0,14,17,3
2024,"WI","WAUPACA","Transportation Equipment","Copper",5.01,0,0,0,0,0
2024,"PA","CUMBERLAND","Nonmetallic Mineral Product","Lead",7.708,0.024,0,0,7.708,0.024
2024,"UT","TOOELE","Hazardous Waste","1,2-Dichlorobenzene",0.001,0.001,0,0,0.001,0.001
2024,"VA","HOPEWELL (CITY)","Paper","Catechol",26.56,0,0,0,0,0
2024,"WI","WAUKESHA","Primary Metals","Copper compounds",59.43,23.32,0.33,6.2,29.85,23.65
2024,"CA","TULARE","Food","Nitrate compounds (water dissociable; reportable only when in aqueous solution)",0,0,0,0,0,0
2024,"SC","BERKELEY","Chemicals","Ammonia",18270,13000,3000,1300,17300,16000
2024,"NC","MECKLENBURG","Other","Ethylene oxide",406,0,406,0,406,406
2024,"GA","GWINNETT","Nonmetallic Mineral Product","Nitrate compounds (water dissociable; reportable only when in aqueous solution)",0,0,0,0,0,0
2024,"AR","GREENE","Transportation Equipment","Manganese",4737,49,0,0,49,49
2024,"LA","CALCASIEU PARISH","Chemicals","Manganese compounds",3502615,5,250,170000,3500255,255
2024,"OH","COLUMBIANA","Primary Metals","Manganese  And Manganese Compounds",653.21,31.34,4.51,0.04,35.89,35.85
2024,"UT","IRON","Food","Nitrate compounds (water dissociable; reportable only when in aqueous solution)",4663,5,0,0,5,5
2024,"IN","ALLEN","Fabricated Metals","Diisocyanates",0.06,0.06,0,0,0.06,0.06
2024,"KS","SEDGWICK","Furniture","Xylene (mixed isomers)",10753.36,1075.34,9678.02,0,10753.36,10753.36
2024,"SC","SALUDA","Food","Copper compounds",0,0,0,0,0,0
2024,"NC","PITT","Transportation Equipment","Toluene",452.91,45.29,407.62,0,452.91,452.91
2024,"IN","LAKE","Hazardous Waste","1,3,4,6,7,8-Hexahydro-4,6,6,7,8,8-hexamethylcyclopenta[g]-2-benzopyran",2577.99,0.03,0,0,0.03,0.03
2024,"CA","LOS ANGELES","Petroleum","Manganese compounds",20,1,19,0,20,20
2024,"IA","CEDAR","Food","Zinc compounds",0,0,0,0,0,0
