"effect_size","sample_size","noise","mean_diff"
1.33333333333333,450,"2",1.28750834361837
1.33333333333333,500,"0.5",1.31110213735592
1.33333333333333,500,"1",1.37333539538821
1.33333333333333,500,"2",1.54192366384897
1.55555555555556,50,"0.5",1.49772262348106
1.55555555555556,50,"1",1.58634624327848
1.55555555555556,50,"2",1.33884706312154
1.55555555555556,100,"0.5",1.63642422918097
1.55555555555556,100,"1",1.47031803256949
1.55555555555556,100,"2",1.1129860084848
1.55555555555556,150,"0.5",1.5013083186779
1.55555555555556,150,"1",1.39524808702248
1.55555555555556,150,"2",1.49656818090816
1.55555555555556,200,"0.5",1.54483130299447
1.55555555555556,200,"1",1.49867129654512
1.55555555555556,200,"2",1.53700964055183
1.55555555555556,250,"0.5",1.48529428144051
1.55555555555556,250,"1",1.71406996561052
1.55555555555556,250,"2",1.64940441536622
1.55555555555556,300,"0.5",1.56181884424431
1.55555555555556,300,"1",1.62550190533393
1.55555555555556,300,"2",1.49494370425262
1.55555555555556,350,"0.5",1.58076993871446
1.55555555555556,350,"1",1.53649854935013
1.55555555555556,350,"2",1.60010074829746
1.55555555555556,400,"0.5",1.52123511521094
1.55555555555556,400,"1",1.59623672661744
1.55555555555556,400,"2",1.38348752701443
1.55555555555556,450,"0.5",1.51843664542932
1.55555555555556,450,"1",1.64151562223028
1.55555555555556,450,"2",1.5260458142205
1.55555555555556,500,"0.5",1.59589164616806
1.55555555555556,500,"1",1.50678776460151
1.55555555555556,500,"2",1.59476164896572
1.77777777777778,50,"0.5",1.86334491236289
1.77777777777778,50,"1",1.48564200644699
1.77777777777778,50,"2",1.86090796272541
1.77777777777778,100,"0.5",1.75217517897468
1.77777777777778,100,"1",1.88361087646745
1.77777777777778,100,"2",1.44470523999127
1.77777777777778,150,"0.5",1.75593316003977
1.77777777777778,150,"1",1.82771418738227
1.77777777777778,150,"2",1.74724575222787
1.77777777777778,200,"0.5",1.70114915476142
1.77777777777778,200,"1",1.93554924586276
1.77777777777778,200,"2",1.64991019563722
1.77777777777778,250,"0.5",1.72022777936876
1.77777777777778,250,"1",1.86252890753149
1.77777777777778,250,"2",1.60918262273537
1.77777777777778,300,"0.5",1.81001000475962
1.77777777777778,300,"1",1.86288992649891
1.77777777777778,300,"2",1.75840230193441
1.77777777777778,350,"0.5",1.77014298687865
1.77777777777778,350,"1",1.62793250274617
1.77777777777778,350,"2",1.64829879192056
1.77777777777778,400,"0.5",1.71698670253046
1.77777777777778,400,"1",1.632787407477
1.77777777777778,400,"2",1.73171046303582
1.77777777777778,450,"0.5",1.7591371612052
1.77777777777778,450,"1",1.73575258079924
1.77777777777778,450,"2",1.74035299284204
1.77777777777778,500,"0.5",1.77673180685246
1.77777777777778,500,"1",1.73227501359072
1.77777777777778,500,"2",1.7741730960611
2,50,"0.5",1.81793341900617
2,50,"1",1.93490465160567
2,50,"2",1.90990019287154
2,100,"0.5",1.93790728243786
2,100,"1",2.20874540138476
2,100,"2",1.52406059764392
2,150,"0.5",2.00774795075267
2,150,"1",1.78081209690704
2,150,"2",2.32251137371448
2,200,"0.5",1.952951666886
2,200,"1",1.80590137861726
2,200,"2",2.12449070985071
2,250,"0.5",1.99433608596854
2,250,"1",2.11000674916239
2,250,"2",1.8510777043587
2,300,"0.5",1.9130170262115
2,300,"1",1.93747872070043
2,300,"2",1.96516757765734
2,350,"0.5",1.9185782600219
2,350,"1",2.03328497883092
2,350,"2",1.77804978904577
2,400,"0.5",2.01446923494999
2,400,"1",2.03142227229134
2,400,"2",2.01898632116396
2,450,"0.5",2.02150147594669
2,450,"1",1.9075700862726
2,450,"2",2.0675080151055
2,500,"0.5",2.07216874897056
2,500,"1",1.97940001405419
2,500,"2",2.09084923682652
